Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/24 19:40,Citibank,810076758,Standard Chartered,839436733,5354.83,US Dollar,5386.53,US Dollar,Cheque,0
2022/09/27 22:38,Standard Chartered,884093639,JPMorgan Chase,858181396,123.14,Singapore Dollar,121.92,Singapore Dollar,Cheque,0
2022/09/25 13:26,Bank of Baroda,984346088,Barclays,997225156,381460.04,Japanese Yen,369864.46,British Pound,Cash,1
2022/09/22 08:03,Barclays,845935572,ING Bank,815831819,3888.99,UAE Dirham,3913.28,UAE Dirham,Wire,0
2022/09/24 07:22,Standard Chartered,893926371,Wells Fargo,877187530,540.27,Euro,529.96,Euro,Wire,0
2022/09/23 09:13,Morgan Stanley,845551614,Goldman Sachs,831429110,3282.61,Euro,3269.83,Euro,ACH,0
2022/09/10 09:45,Societe Generale,819335534,JPMorgan Chase,845575298,10537.58,US Dollar,10350.48,US Dollar,Cheque,0
2022/09/01 02:15,Deutsche Bank,814308421,Standard Chartered,891734598,8754.72,Euro,8898.44,Euro,Cash,0
2022/09/05 19:48,Societe Generale,816150444,Societe Generale,838427073,189.11,US Dollar,187.6,US Dollar,ACH,0
2022/09/16 07:43,Credit Suisse,886149359,Standard Chartered,821668732,9529.74,Euro,9386.58,Euro,ACH,0
2022/09/08 08:54,Standard Chartered,895758349,Goldman Sachs,829175900,252.11,Euro,251.36,Euro,Bitcoin,0
2022/09/29 21:17,Wells Fargo,811540956,Societe Generale,839345092,183.24,Euro,183.25,Euro,Cheque,0
2022/09/27 13:54,Standard Chartered,845351479,UBS,866629388,751.45,Euro,741.38,Euro,ACH,0
2022/09/07 01:40,JPMorgan Chase,888461803,Morgan Stanley,839476249,13.07,Japanese Yen,13.13,Japanese Yen,Cheque,0
2022/09/13 16:03,Standard Chartered,841227216,Bank of Baroda,893926371,959.33,US Dollar,967.64,US Dollar,ACH,0
2022/09/01 20:27,UBS,842138745,UBS,810872248,2045.97,Euro,2020.71,Euro,ACH,0
2022/09/28 21:07,Credit Suisse,943273328,JPMorgan Chase,918593410,375129.83,Singapore Dollar,399249.02,Swiss Franc,Wire,1
2022/09/15 06:29,Standard Chartered,919510312,Morgan Stanley,926240908,8815.99,US Dollar,8268.79,Chinese Yuan,Reinvestment,1
2022/09/23 07:35,Bank of Baroda,830514014,Bank of Baroda,828740864,4662.06,Chinese Yuan,4621.19,Chinese Yuan,ACH,0
2022/09/25 20:05,Citibank,830513739,Morgan Stanley,881691040,2491.35,US Dollar,2483.64,US Dollar,Cheque,0
2022/09/22 19:12,ING Bank,894214382,JPMorgan Chase,842857966,5498.57,Euro,5539.31,Euro,Cheque,0
2022/09/29 17:16,BNP Paribas,877187530,Standard Chartered,859684848,72.02,Hong Kong Dollar,70.94,Hong Kong Dollar,Wire,0
2022/09/02 23:46,BNP Paribas,860992979,Barclays,831472420,6280.37,Euro,6261.05,Euro,Wire,0
2022/09/04 08:05,Wells Fargo,831429110,ING Bank,813999315,50.0,British Pound,49.12,British Pound,ACH,0
2022/09/26 06:07,Goldman Sachs,816150444,Societe Generale,842868828,1863.15,British Pound,1857.08,British Pound,Wire,0
2022/09/23 02:43,Goldman Sachs,813561597,Morgan Stanley,884252722,21067.48,Euro,20985.08,Euro,ACH,0
2022/09/02 07:34,Standard Chartered,814308421,Barclays,815831819,10637.06,Euro,10458.76,Euro,Cheque,0
2022/09/04 06:16,Deutsche Bank,871662963,HSBC,884093639,347.93,Hong Kong Dollar,348.22,Hong Kong Dollar,Cheque,0
2022/09/15 09:52,BNP Paribas,882340307,Barclays,836697396,505.16,US Dollar,503.23,US Dollar,Cheque,0
2022/09/16 12:22,JPMorgan Chase,831682744,Standard Chartered,895225343,657.45,Euro,646.96,Euro,ACH,0
2022/09/17 13:11,Societe Generale,824942603,JPMorgan Chase,845833156,136.36,Indian Rupee,136.75,Indian Rupee,Cash,0
2022/09/23 11:07,BNP Paribas,881182864,JPMorgan Chase,851837852,1424.28,US Dollar,1417.45,US Dollar,ACH,0
2022/09/23 06:44,Bank of Baroda,889978790,ING Bank,832969840,785.23,Chinese Yuan,774.37,Chinese Yuan,ACH,0
2022/09/13 06:55,JPMorgan Chase,858718453,Bank of Baroda,840742311,248.5,Singapore Dollar,251.0,Singapore Dollar,Wire,0
2022/09/11 00:21,Goldman Sachs,890048665,HSBC,877827638,2743.98,Euro,2708.01,Euro,Cheque,0
2022/09/12 08:01,Barclays,875228535,Deutsche Bank,885345555,3164.39,US Dollar,3110.92,US Dollar,Cheque,0
2022/09/28 12:54,UBS,827232410,Societe Generale,836998038,7878.95,US Dollar,7848.93,US Dollar,ACH,0
2022/09/08 00:59,Barclays,866661351,UBS,889978790,469.76,US Dollar,462.07,US Dollar,ACH,0
2022/09/27 07:15,Bank of Baroda,820576383,BNP Paribas,831831063,1527.45,US Dollar,1548.5,US Dollar,ACH,0
2022/09/23 18:12,Goldman Sachs,867503414,Bank of Baroda,860929647,16746.53,British Pound,16890.45,British Pound,ACH,0
2022/09/25 17:20,JPMorgan Chase,839476249,Societe Generale,822448136,6983.8,US Dollar,7120.81,US Dollar,Cash,0
2022/09/09 14:39,Wells Fargo,832162965,Bank of Baroda,898550256,192.43,British Pound,192.7,British Pound,ACH,0
2022/09/24 14:51,UBS,872043515,Bank of Baroda,819289546,5627.3,Indian Rupee,5736.83,Indian Rupee,ACH,0
2022/09/09 10:11,Barclays,846231783,UBS,841244663,6918.15,US Dollar,6996.68,US Dollar,ACH,0
2022/09/26 09:13,Goldman Sachs,843101783,Wells Fargo,880823176,14711.31,Chinese Yuan,14802.57,Chinese Yuan,Cheque,0
2022/09/14 02:51,Citibank,860992979,ING Bank,861220073,1530.54,US Dollar,1549.06,US Dollar,Cheque,0
2022/09/21 12:28,Citibank,896282117,Goldman Sachs,877005685,257.84,Singapore Dollar,260.99,Singapore Dollar,ACH,0
2022/09/09 05:36,Deutsche Bank,881691040,Bank of Baroda,846231783,987.55,British Pound,979.03,British Pound,ACH,0
2022/09/07 07:34,UBS,884093639,BNP Paribas,861019678,348.7,Euro,342.89,Euro,ACH,0
2022/09/29 03:06,Goldman Sachs,873791320,Goldman Sachs,898550256,629.04,Euro,626.68,Euro,Cheque,0
2022/09/15 14:35,JPMorgan Chase,859684848,Societe Generale,820576383,655.41,Swiss Franc,660.72,Swiss Franc,Wire,0
2022/09/08 13:04,ING Bank,842329237,Goldman Sachs,833978249,673.43,US Dollar,686.65,US Dollar,ACH,0
2022/09/24 21:33,Deutsche Bank,849349722,Goldman Sachs,826753883,102.23,Euro,103.16,Euro,ACH,0
2022/09/03 19:35,Morgan Stanley,847338124,Morgan Stanley,881498611,256.99,Euro,258.45,Euro,Bitcoin,0
2022/09/03 11:17,BNP Paribas,881971316,Citibank,813999315,1042.93,Swiss Franc,1032.43,Swiss Franc,Cheque,0
2022/09/23 05:45,Credit Suisse,979008866,Bank of Baroda,941944441,9908.55,Indian Rupee,9847.49,Swiss Franc,ACH,1
2022/09/28 21:30,BNP Paribas,898550256,UBS,853524491,885.85,US Dollar,897.99,US Dollar,Cheque,0
2022/09/15 08:14,Goldman Sachs,839476249,HSBC,882070937,3427.82,British Pound,3388.4,British Pound,Cash,0
2022/09/01 23:44,UBS,883197857,Goldman Sachs,845575298,5996.52,US Dollar,6067.22,US Dollar,Cheque,0
2022/09/21 13:47,Deutsche Bank,831931511,BNP Paribas,849349722,2445.28,Chinese Yuan,2418.0,Chinese Yuan,Cheque,0
2022/09/13 17:05,Wells Fargo,845812670,HSBC,851837852,615.63,US Dollar,603.34,US Dollar,ACH,0
2022/09/12 01:45,Societe Generale,940885476,Citibank,968800797,378078.82,Euro,388149.18,Swiss Franc,Wire,1
2022/09/29 04:19,Credit Suisse,876238574,ING Bank,811540956,30603.46,US Dollar,30304.02,US Dollar,Cheque,0
2022/09/09 20:09,ING Bank,831429110,Morgan Stanley,838119557,527.68,US Dollar,536.82,US Dollar,Wire,0
2022/09/06 04:50,Morgan Stanley,860992979,Bank of Baroda,847308985,262.28,British Pound,266.55,British Pound,Cheque,0
2022/09/05 01:44,Morgan Stanley,988979095,Barclays,914216175,18967.52,Singapore Dollar,18616.95,Chinese Yuan,Cheque,1
2022/09/06 09:08,Bank of Baroda,821496211,HSBC,898753260,217.63,Euro,213.86,Euro,ACH,0
2022/09/04 15:13,Citibank,843101783,Goldman Sachs,821496211,2627.55,Singapore Dollar,2636.43,Singapore Dollar,Cheque,0
2022/09/09 13:45,Citibank,895225343,BNP Paribas,833978249,3762.13,Hong Kong Dollar,3696.0,Hong Kong Dollar,Cheque,0
2022/09/23 16:22,Credit Suisse,875579548,UBS,870291817,816.71,Hong Kong Dollar,831.33,Hong Kong Dollar,Cheque,0
2022/09/05 23:02,Societe Generale,886149359,UBS,819289546,731.77,US Dollar,723.09,US Dollar,Cash,0
2022/09/22 16:32,Standard Chartered,831831063,Goldman Sachs,883140807,238.13,Hong Kong Dollar,238.9,Hong Kong Dollar,ACH,0
2022/09/24 05:23,Morgan Stanley,833978249,Wells Fargo,875579548,4970.77,Hong Kong Dollar,5007.0,Hong Kong Dollar,Cheque,0
2022/09/26 18:28,ING Bank,896282117,BNP Paribas,882070937,1488.02,Euro,1516.54,Euro,Cash,0
2022/09/18 05:48,Citibank,896028436,Deutsche Bank,883793389,289.18,British Pound,293.22,British Pound,ACH,0
2022/09/06 11:08,ING Bank,860929647,Bank of Baroda,836998038,98.85,Indian Rupee,97.34,Indian Rupee,Cash,0
2022/09/15 04:32,Deutsche Bank,820709497,Societe Generale,830514014,694.1,US Dollar,682.05,US Dollar,Bitcoin,0
2022/09/27 14:11,Wells Fargo,825014631,Deutsche Bank,882340307,318.94,Chinese Yuan,316.25,Chinese Yuan,Cheque,0
2022/09/10 13:20,Societe Generale,846913810,Barclays,845575298,1188.48,US Dollar,1167.9,US Dollar,Wire,0
2022/09/13 06:59,Goldman Sachs,822575562,Morgan Stanley,889089901,19645.11,Indian Rupee,19817.37,Indian Rupee,Cheque,0
2022/09/22 20:54,Morgan Stanley,811540956,Standard Chartered,842868828,2097.49,US Dollar,2064.56,US Dollar,ACH,0
2022/09/20 14:39,BNP Paribas,855176955,Deutsche Bank,884093639,430.89,Swiss Franc,427.61,Swiss Franc,Cash,0
2022/09/20 14:11,Citibank,871586053,UBS,868353204,14015.28,British Pound,14290.36,British Pound,Cheque,0
2022/09/04 20:17,BNP Paribas,842868828,Barclays,943273328,28122.0,Swiss Franc,26964.99,Chinese Yuan,Cheque,1
2022/09/29 23:25,ING Bank,988961459,Societe Generale,979467853,83010.89,Indian Rupee,79042.87,US Dollar,Wire,1
2022/09/13 12:19,Morgan Stanley,883140807,HSBC,876238574,50000,British Pound,49841.37,British Pound,Cheque,0
2022/09/05 07:26,ING Bank,847308985,Morgan Stanley,818526544,2439.24,UAE Dirham,2412.88,UAE Dirham,Wire,0
2022/09/20 18:55,Wells Fargo,868353204,Morgan Stanley,839958838,1553.08,Japanese Yen,1555.96,Japanese Yen,Cheque,0
2022/09/24 20:07,Societe Generale,832162965,Credit Suisse,851837852,75.59,Hong Kong Dollar,74.31,Hong Kong Dollar,Wire,0
2022/09/27 23:04,Credit Suisse,941944441,ING Bank,988979095,216704.78,Chinese Yuan,203919.25,Singapore Dollar,Cheque,1
2022/09/19 15:15,ING Bank,919046318,Wells Fargo,947376585,9263.37,British Pound,9662.08,Swiss Franc,Wire,1
2022/09/11 01:53,UBS,979008866,Standard Chartered,914216175,9797.7,Swiss Franc,10134.96,Euro,Wire,1
2022/09/25 22:41,ING Bank,888461803,Barclays,863606628,10897.86,US Dollar,10930.54,US Dollar,ACH,0
2022/09/27 19:02,HSBC,988979095,Credit Suisse,970597444,9670.33,Japanese Yen,9185.9,UAE Dirham,Bitcoin,1
2022/09/11 08:31,JPMorgan Chase,853507489,BNP Paribas,820709497,221.28,Euro,223.85,Euro,ACH,0
2022/09/14 09:31,JPMorgan Chase,814265799,Wells Fargo,836687537,50000,Hong Kong Dollar,49125.98,Hong Kong Dollar,ACH,0
2022/09/10 12:13,Morgan Stanley,859684848,UBS,877827638,217.67,US Dollar,216.73,US Dollar,Cash,0
2022/09/20 01:43,Credit Suisse,867503414,Bank of Baroda,897226012,541.69,Chinese Yuan,542.61,Chinese Yuan,ACH,0
2022/09/14 13:40,Deutsche Bank,858718453,Societe Generale,841244663,6209.59,US Dollar,6275.15,US Dollar,ACH,0
2022/09/02 08:56,Bank of Baroda,839958838,Morgan Stanley,899949389,399.1,Euro,398.66,Euro,Reinvestment,0
2022/09/06 08:02,HSBC,821668732,BNP Paribas,861220073,2375.29,US Dollar,2353.64,US Dollar,Wire,0
2022/09/07 13:30,ING Bank,838427073,Standard Chartered,848840994,786.06,Euro,800.18,Euro,ACH,0
2022/09/14 19:55,ING Bank,861642594,Societe Generale,890801586,641.23,UAE Dirham,640.37,UAE Dirham,ACH,0
2022/09/05 23:35,Bank of Baroda,843101783,Standard Chartered,815831819,445.45,Hong Kong Dollar,453.05,Hong Kong Dollar,ACH,0
2022/09/06 17:10,Morgan Stanley,845935572,Deutsche Bank,810435578,2511.28,British Pound,2518.98,British Pound,Reinvestment,0
2022/09/13 01:54,Goldman Sachs,866629388,Goldman Sachs,919510312,251083.12,Singapore Dollar,239094.1,Hong Kong Dollar,Cash,1
2022/09/11 23:14,Morgan Stanley,895758349,Standard Chartered,810076758,1133.89,Swiss Franc,1117.21,Swiss Franc,Bitcoin,0
2022/09/22 04:29,BNP Paribas,842857966,UBS,878137358,3545.21,US Dollar,3487.9,US Dollar,ACH,0
2022/09/29 09:07,Bank of Baroda,871662963,Wells Fargo,853507489,1881.43,US Dollar,1891.71,US Dollar,Wire,0
2022/09/20 19:19,Bank of Baroda,861220073,Standard Chartered,860185867,2230.54,Euro,2241.39,Euro,Cash,0
2022/09/27 06:45,BNP Paribas,861642594,Citibank,888461803,5363.03,Swiss Franc,5265.56,Swiss Franc,Cheque,0
2022/09/12 09:50,Citibank,839958838,UBS,832162965,2143.25,British Pound,2155.03,British Pound,Cheque,0
2022/09/03 23:38,Standard Chartered,896282117,Bank of Baroda,858537831,771.29,Euro,773.6,Euro,Cash,0
2022/09/16 10:38,Standard Chartered,954349361,JPMorgan Chase,842868828,18540.17,Swiss Franc,18714.3,Chinese Yuan,Cheque,1
2022/09/08 13:44,Morgan Stanley,890048665,Deutsche Bank,839587039,4434.52,British Pound,4495.09,British Pound,Wire,0
2022/09/21 23:24,Societe Generale,845264581,Credit Suisse,822575562,857.32,Euro,853.75,Euro,Cheque,0
2022/09/19 02:24,Morgan Stanley,863551839,JPMorgan Chase,870855700,99.58,British Pound,100.27,British Pound,ACH,0
2022/09/09 16:22,JPMorgan Chase,885345555,Standard Chartered,884252722,4225.09,Chinese Yuan,4252.7,Chinese Yuan,Wire,0
2022/09/22 00:09,Bank of Baroda,877827638,Bank of Baroda,838119557,244.92,Swiss Franc,249.27,Swiss Franc,ACH,0
2022/09/12 04:05,UBS,811540956,HSBC,819289546,14070.59,Chinese Yuan,13935.01,Chinese Yuan,Reinvestment,0
2022/09/05 14:44,Citibank,919528530,Goldman Sachs,910965138,9878.46,Euro,10315.8,UAE Dirham,Wire,1
2022/09/12 01:56,Goldman Sachs,866306997,Barclays,831931511,435.82,US Dollar,437.33,US Dollar,Cash,0
2022/09/28 00:05,Credit Suisse,836998038,UBS,810872248,1768.51,Hong Kong Dollar,1797.08,Hong Kong Dollar,Wire,0
2022/09/18 04:56,HSBC,877187530,Goldman Sachs,867503414,1396.85,Singapore Dollar,1404.16,Singapore Dollar,ACH,0
2022/09/17 03:48,Credit Suisse,816323852,Goldman Sachs,883197857,2194.77,Euro,2186.98,Euro,Cheque,0
2022/09/11 06:21,UBS,979467853,Credit Suisse,968800797,8557.05,Euro,8778.38,Swiss Franc,Wire,1
2022/09/25 14:49,Standard Chartered,887490893,Citibank,836697396,197.43,Euro,195.82,Euro,ACH,0
2022/09/17 04:42,Morgan Stanley,883197857,Credit Suisse,829175900,1278.95,Singapore Dollar,1254.01,Singapore Dollar,Cash,0
2022/09/02 04:30,Barclays,861642594,Standard Chartered,838119557,2832.75,Euro,2808.16,Euro,Cheque,0
2022/09/03 14:52,Deutsche Bank,839476249,Deutsche Bank,840587988,163.36,Euro,164.23,Euro,Cash,0
2022/09/03 00:22,ING Bank,853524491,Barclays,888461803,1647.72,Singapore Dollar,1657.97,Singapore Dollar,ACH,0
2022/09/17 05:27,BNP Paribas,824972279,Citibank,895899313,1016.0,Japanese Yen,1031.2,Japanese Yen,Wire,0
2022/09/19 21:40,HSBC,819335534,Bank of Baroda,817507864,662.2,British Pound,651.05,British Pound,Cheque,0
2022/09/26 04:34,Goldman Sachs,858537831,Credit Suisse,831429110,1269.6,British Pound,1291.89,British Pound,ACH,0
2022/09/04 11:21,Deutsche Bank,918593410,Wells Fargo,960119651,23967.94,Indian Rupee,22780.99,Hong Kong Dollar,Cheque,1
2022/09/16 22:36,Morgan Stanley,838119557,Deutsche Bank,883197857,313.25,US Dollar,308.4,US Dollar,ACH,0
2022/09/02 15:23,Barclays,872820592,Goldman Sachs,857683626,5893.92,US Dollar,5838.98,US Dollar,Cheque,0
2022/09/07 16:21,Standard Chartered,839476249,Deutsche Bank,841227216,636.97,US Dollar,642.72,US Dollar,Reinvestment,0
2022/09/07 21:37,HSBC,813356886,BNP Paribas,849349722,419.19,British Pound,419.41,British Pound,Cheque,0
2022/09/22 17:29,Bank of Baroda,828566572,Credit Suisse,860992979,814.43,Singapore Dollar,808.22,Singapore Dollar,Reinvestment,0
2022/09/28 10:17,ING Bank,819289546,Morgan Stanley,883793389,1274.36,Singapore Dollar,1290.77,Singapore Dollar,Cheque,0
2022/09/14 23:40,UBS,860992979,Citibank,863551839,4205.6,British Pound,4225.9,British Pound,Wire,0
2022/09/16 16:38,Deutsche Bank,866629388,Standard Chartered,839345092,109.29,British Pound,107.74,British Pound,Wire,0
2022/09/19 14:29,Deutsche Bank,898550256,Barclays,881498611,1578.7,British Pound,1558.41,British Pound,Wire,0
2022/09/19 03:42,Morgan Stanley,858537831,UBS,882070937,3267.62,British Pound,3204.59,British Pound,Cheque,0
2022/09/24 09:38,JPMorgan Chase,846231783,Deutsche Bank,839958838,1489.29,Chinese Yuan,1518.4,Chinese Yuan,Cash,0
2022/09/02 06:42,JPMorgan Chase,845503389,Wells Fargo,820709497,19.3,US Dollar,18.96,US Dollar,Cash,0
2022/09/01 06:28,Bank of Baroda,810872248,Goldman Sachs,896282117,931.22,US Dollar,928.27,US Dollar,Wire,0
2022/09/02 09:58,BNP Paribas,876238574,BNP Paribas,841244663,1379.06,British Pound,1351.96,British Pound,Cheque,0
2022/09/02 20:58,Morgan Stanley,839587039,Citibank,878137358,4198.36,US Dollar,4240.94,US Dollar,Bitcoin,0
2022/09/01 15:47,HSBC,815831819,Wells Fargo,857683626,415.1,US Dollar,413.71,US Dollar,Cheque,0
2022/09/15 22:40,JPMorgan Chase,853507489,Credit Suisse,838427073,23149.88,Hong Kong Dollar,23138.34,Hong Kong Dollar,Cash,0
2022/09/14 07:17,Morgan Stanley,851837852,Standard Chartered,866306997,478.09,Euro,484.36,Euro,ACH,0
2022/09/07 06:12,ING Bank,912823170,JPMorgan Chase,918593410,13640.77,Indian Rupee,12827.05,UAE Dirham,Cash,1
2022/09/23 17:44,Societe Generale,861019678,Wells Fargo,890388981,357.59,UAE Dirham,363.62,UAE Dirham,Cash,0
2022/09/08 01:08,Barclays,889978790,UBS,830868105,162.22,Swiss Franc,161.86,Swiss Franc,Bitcoin,0
2022/09/12 01:19,Citibank,815831819,BNP Paribas,884252722,257.85,US Dollar,253.74,US Dollar,ACH,0
2022/09/26 03:08,Wells Fargo,824972279,Standard Chartered,884252722,97.88,Singapore Dollar,96.83,Singapore Dollar,Wire,0
2022/09/05 13:20,JPMorgan Chase,839587039,Morgan Stanley,812614124,73.04,Singapore Dollar,74.31,Singapore Dollar,ACH,0
2022/09/10 16:19,Bank of Baroda,828728463,HSBC,858586340,1581.31,Hong Kong Dollar,1585.13,Hong Kong Dollar,Wire,0
2022/09/04 12:59,Wells Fargo,831831063,ING Bank,849349722,165.7,Euro,168.21,Euro,Wire,0
2022/09/02 13:04,Standard Chartered,873791320,Credit Suisse,826879290,3508.21,US Dollar,3521.99,US Dollar,Cash,0
2022/09/13 23:24,Wells Fargo,940158366,Standard Chartered,821668732,15302.0,British Pound,15578.86,Hong Kong Dollar,Reinvestment,1
2022/09/12 15:19,Citibank,842329237,BNP Paribas,836697396,57.21,US Dollar,56.86,US Dollar,Wire,0
2022/09/17 05:36,Wells Fargo,884752529,Barclays,815831819,159.85,Euro,163.03,Euro,Wire,0
2022/09/20 16:22,JPMorgan Chase,955377076,Barclays,954349361,38866.78,US Dollar,36544.33,Euro,ACH,1
2022/09/28 11:07,Wells Fargo,818883684,HSBC,838538251,7297.29,Euro,7245.47,Euro,Cheque,0
2022/09/05 13:06,Bank of Baroda,897971488,Bank of Baroda,824282218,55.16,Euro,54.37,Euro,ACH,0
2022/09/07 22:27,Morgan Stanley,822448136,JPMorgan Chase,842868828,372.13,Hong Kong Dollar,370.83,Hong Kong Dollar,Cheque,0
2022/09/29 14:05,Citibank,888320463,Bank of Baroda,810076758,9554.07,Indian Rupee,9507.35,Indian Rupee,Cheque,0
2022/09/22 14:17,Citibank,856164955,Credit Suisse,820570592,171.24,US Dollar,171.05,US Dollar,ACH,0
2022/09/12 22:52,Societe Generale,895320121,UBS,894214382,2502.08,British Pound,2467.43,British Pound,Cheque,0
2022/09/03 03:19,UBS,836687537,Deutsche Bank,833978249,3380.35,Singapore Dollar,3413.44,Singapore Dollar,Cheque,0
2022/09/19 15:20,Societe Generale,842329237,ING Bank,860185867,638.24,Indian Rupee,637.2,Indian Rupee,Wire,0
2022/09/13 05:29,Goldman Sachs,819289546,Goldman Sachs,848840994,247.97,Swiss Franc,247.74,Swiss Franc,Cheque,0
2022/09/15 21:23,Barclays,839436733,BNP Paribas,857683626,1280.98,British Pound,1277.16,British Pound,Reinvestment,0
2022/09/23 20:37,Citibank,845551614,ING Bank,846231783,1796.12,Euro,1789.07,Euro,Cash,0
2022/09/17 22:43,Wells Fargo,899949389,UBS,824942603,1847.78,US Dollar,1867.57,US Dollar,ACH,0
2022/09/06 07:14,JPMorgan Chase,939557077,Credit Suisse,912823170,345300.82,Singapore Dollar,360420.13,Chinese Yuan,Cash,1
